,0
0,"average_transfer_5m"
1,"deposit_transactions_5m"
2,"exchange_inflow"
3,"exchange_outflow"
4,"median_transfer_5m"
5,"mvrv_usd_intraday_1d"
6,"mvrv_usd_intraday_30d"
7,"mvrv_usd_intraday_7d"
8,"mvrv_usd_intraday_90d"
9,"network_profit_loss"
10,"price_usd"
11,"price_volatility_1d"
12,"price_volatility_1w"
13,"sentiment_balance_total"
14,"sentiment_negative_total"
15,"sentiment_positive_total"
16,"social_dominance_total"
17,"social_volume_ai_total"
18,"social_volume_total"
19,"transaction_volume"
20,"unique_social_volume_total_5m"
21,"usdt_binance_funding_rate"
22,"volume_usd"
23,"whale_transaction_count_100k_usd_to_inf"
24,"withdrawal_transactions_5m"
