,0
0,"average_transfer_5m"
1,"bitfinex_perpetual_funding_rate"
2,"bitmex_composite_price_index"
3,"bitmex_perpetual_basis"
4,"bitmex_perpetual_basis_ratio"
5,"bitmex_perpetual_funding_rate"
6,"deposit_transactions_5m"
7,"deribit_perpetual_funding_rate"
8,"dydx_perpetual_funding_rate"
9,"exchange_balance"
10,"exchange_inflow"
11,"exchange_outflow"
12,"median_transfer_5m"
13,"mvrv_usd_intraday_1d"
14,"mvrv_usd_intraday_30d"
15,"mvrv_usd_intraday_7d"
16,"mvrv_usd_intraday_90d"
17,"network_profit_loss"
18,"price_usd"
19,"price_volatility_1d"
20,"price_volatility_1w"
21,"sentiment_balance_total"
22,"sentiment_negative_total"
23,"sentiment_positive_total"
24,"social_dominance_total"
25,"social_volume_ai_total"
26,"social_volume_total"
27,"transaction_volume"
28,"unique_social_volume_total_5m"
29,"usdt_binance_funding_rate"
30,"volume_usd"
31,"whale_transaction_count_100k_usd_to_inf"
32,"whale_transaction_count_1m_usd_to_inf"
33,"withdrawal_transactions_5m"
