,0
0,"adjusted_price_daa_divergence"
1,"daily_avg_price_usd"
2,"daily_closing_price_usd"
3,"daily_high_price_usd"
4,"daily_low_price_usd"
5,"daily_opening_price_usd"
6,"daily_trading_volume_usd"
7,"deposit_transactions"
8,"mean_realized_price_usd_1d"
9,"mean_realized_price_usd_30d"
10,"mean_realized_price_usd_7d"
11,"mvrv_usd_1d"
12,"mvrv_usd_30d"
13,"mvrv_usd_7d"
14,"mvrv_usd_90d"
15,"network_growth"
16,"payments_count"
17,"realized_value_usd_1d"
18,"realized_value_usd_30d"
19,"realized_value_usd_7d"
20,"sentiment_volume_consumed_total"
21,"transaction_volume_in_loss"
22,"transaction_volume_in_profit"
23,"transaction_volume_profit_loss_ratio"
24,"transaction_volume_usd"
25,"transactions_count"
26,"velocity"
27,"withdrawal_transactions"
